anho,IS.AIR.GOOD.MT.K1,IS.AIR.PSGR,IS.AIR.DPRT,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.H2O.FWTL.ZS,ER.H2O.FWTL.K3,IS.SHP.GOOD.TU,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,IT.NET.BBND,IT.NET.BBND.P2,IT.MLT.MAIN,IT.MLT.MAIN.P2,TX.VAL.ICTG.ZS.UN,TM.VAL.ICTG.ZS.UN,BX.GSR.CCIS.ZS,BX.GSR.CCIS.CD,IT.NET.USER.ZS,IP.IDS.NRCT,IP.IDS.RSCT,IE.PPI.ICTI.CD,IE.PPI.ENGY.CD,IE.PPI.TRAN.CD,IE.PPI.WATR.CD,IS.SHP.GCNW.XQ,IT.CEL.SETS,IT.CEL.SETS.P2,IE.PPN.ICTI.CD,IE.PPN.ENGY.CD,IE.PPN.TRAN.CD,IE.PPN.WATR.CD,IS.RRS.TOTL.KM,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,ER.H2O.INTR.PC,ER.H2O.INTR.K3,IT.NET.SECR,IT.NET.SECR.P6,IP.TMK.NRCT,IP.TMK.RSCT
2012,58,58,58,85,87,88,87,83,58,80,80,80,80,80,80,80,21,21,8,8,61,52,41,39,16,160,159,258,206,241,248,100,11,11,258,205,240,247,203,184,183,35,36,55,7,144,143
2013,59,59,59,85,86,87,87,83,57,80,80,80,80,80,80,80,17,17,9,9,61,49,41,39,17,152,150,263,217,232,251,101,14,14,265,220,233,251,206,188,184,35,36,55,7,137,135
2014,73,59,59,39,38,40,42,38,57,80,79,80,80,80,80,80,17,17,7,7,62,51,39,37,17,159,159,265,215,243,259,100,13,13,265,217,243,259,199,181,179,35,36,56,8,139,141
2015,79,63,63,39,38,40,42,38,56,265,266,80,80,80,207,80,16,16,8,9,56,51,40,38,18,160,161,262,219,243,250,101,11,11,263,219,243,251,195,181,173,35,36,54,6,138,139
2016,80,62,62,38,38,39,42,38,58,265,266,266,266,266,266,266,21,21,16,17,59,51,40,38,15,155,156,259,222,239,257,100,16,16,259,221,242,256,193,182,178,35,36,52,4,126,128
2017,82,63,63,38,38,39,42,38,59,265,266,266,266,266,266,266,21,21,17,18,56,50,44,42,13,154,151,261,205,225,253,100,14,14,263,204,226,252,190,183,176,35,36,52,4,124,127
2018,59,60,60,38,38,39,42,38,59,265,266,266,266,266,266,266,38,38,32,33,59,54,44,42,51,150,148,262,211,241,249,100,27,27,265,210,240,248,188,187,184,35,36,52,5,120,124
2019,57,63,63,38,38,39,42,38,61,265,266,266,266,266,266,266,15,15,10,11,72,65,43,42,32,150,152,262,203,228,256,99,10,10,262,203,228,255,192,188,186,35,36,53,6,125,128
2020,95,68,68,38,38,39,42,38,116,266,266,266,266,266,266,266,17,17,11,11,80,76,44,43,33,144,143,265,209,238,258,100,10,10,266,210,238,258,200,193,191,35,36,51,4,119,121
2021,88,66,66,266,266,266,266,266,142,266,266,266,266,266,266,266,16,16,13,13,99,98,49,49,36,160,154,266,215,229,254,101,10,10,266,214,228,254,201,206,209,266,266,266,266,142,143
2022,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,59,66,62,68,266,266,73,78,199,266,266,256,211,237,256,266,58,65,256,210,236,255,266,266,266,266,266,266,266,266,266
2023,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266
